age,workclass,fnlwgt,education,education-num,maritial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
344.9140624530849,Self-emp-not-inc,1939262.9684503037,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,-684.6247874195521,United-States,>50K
55.0,Private,1605347.7247173763,Masters,-97.75924470264167,Married-civ-spouse,Prof-specialty,Husband,White,Male,-34391.22377768473,24680.01712121567,40.0,United-States,>50K
49.0,Private,340755.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,-926743.662768889,-8719.072055998491,971.9986371304713,United-States,>50K
31.0,Private,-5257050.728032894,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,14072.60121861427,40.0,United-States,<=50K
-492.4383965029798,Private,-7588633.77232987,Some-college,-17.544903281685038,Never-married,Other-service,Own-child,White,Female,0.0,-27307.04503127053,-259.5659697426478,United-States,<=50K
-444.6993952280889,Private,167005.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,-397.89198727159635,United-States,>50K
648.3515460488172,Private,-8331020.657610977,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,-423866.1758724315,18694.454577787496,40.0,United-States,>50K
48.0,Private,1959428.9591246173,HS-grad,101.74976150091607,Divorced,Transport-moving,Not-in-family,White,Male,176911.1935753479,0.0,-358.41776609277906,United-States,<=50K
60.0,Private,2997511.569974035,Some-college,-43.096904914827334,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,871742.6695253388,14856.851764080038,486.6290085277425,United-States,<=50K
38.0,Private,173968.0,HS-grad,134.05105861413864,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
-532.5880887032868,Private,49715.0,HS-grad,9.0,Divorced,Transport-moving,Unmarried,White,Male,0.0,-25719.874247509964,-827.2738065208698,United-States,<=50K
51.0,Private,255412.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,1006.2182021922101,France,>50K
21.0,Private,192572.0,HS-grad,106.04828371644604,Never-married,Adm-clerical,Own-child,White,Female,-474804.7616455804,0.0,45.0,United-States,<=50K
665.9908683676321,Private,2131420.3033826277,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,1741.0,40.0,United-States,<=50K
308.7544494164302,Private,5792403.659498844,Assoc-voc,11.0,Divorced,Sales,Unmarried,Black,Female,-341448.5700892351,-5962.709702621942,827.8550163226203,United-States,<=50K
-684.0028636465128,Self-emp-not-inc,278557.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,477721.46465445735,-1251.533487092387,571.8888631745272,United-States,<=50K
-337.6452235802634,Private,1020090.1849467858,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Male,0.0,11920.942177594212,831.2610864808518,United-States,<=50K
55.0,Local-gov,-4041120.6681067115,12th,8.0,Widowed,Adm-clerical,Not-in-family,White,Female,-678106.8153592394,29490.944175604625,-559.7923243301375,United-States,<=50K
304.5901207335892,Private,3205196.1371460124,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,227893.49341211317,0.0,28.0,United-States,<=50K
-356.6074965483624,Private,7170624.365075312,10th,-45.74549138619267,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,55.0,Puerto-Rico,<=50K
27.0,Private,213421.0,Prof-school,15.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
794.9768821659542,Private,3236596.062064592,5th-6th,-126.26921918208153,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,140384.80545640748,0.0,-191.43625257358485,Philippines,<=50K
690.0029958679831,Private,122775.0,HS-grad,-35.00677289508741,Never-married,Other-service,Own-child,White,Male,0.0,-4187.658509009409,443.2209086341682,United-States,<=50K
-149.07014105300436,Private,4079914.1739054145,Bachelors,157.44776744999294,Never-married,Exec-managerial,Not-in-family,White,Male,-267208.4509822964,-19304.319623088762,50.0,United-States,<=50K
453.99830259296374,Private,226875.0,7th-8th,4.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,-5210.956445608714,409.9639273344896,United-States,<=50K
31.0,Private,-990610.3752576429,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
700.546753078637,Self-emp-not-inc,-5410633.121929116,Some-college,-125.55788244615124,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,84.0,United-States,<=50K
25.0,Self-emp-not-inc,159909.0,Assoc-voc,63.654561635255725,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,6921.348018489569,40.0,United-States,<=50K
49.0,Private,218357.0,Assoc-voc,-132.90974297939164,Divorced,Prof-specialty,Not-in-family,White,Female,-831420.5257834413,-5433.060130863516,894.1481939406013,United-States,<=50K
